component,layer,head,abs_delta
z,16,21,0.0029296875
z,28,21,0.002685546875
z,29,24,0.002685546875
z,28,14,0.002685546875
z,20,22,0.002685546875
z,31,22,0.002685546875
z,29,21,0.002685546875
z,29,26,0.002685546875
z,27,2,0.002685546875
z,25,31,0.002685546875
z,27,18,0.002685546875
z,31,9,0.00244140625
z,19,6,0.00244140625
z,21,12,0.00244140625
z,22,9,0.00244140625
z,30,6,0.00244140625
z,29,30,0.00244140625
z,29,29,0.00244140625
z,31,11,0.002197265625
z,31,29,0.002197265625
z,30,2,0.002197265625
z,30,3,0.002197265625
z,30,10,0.002197265625
z,22,23,0.002197265625
z,21,6,0.002197265625
z,28,31,0.002197265625
z,29,14,0.002197265625
z,29,11,0.001953125
